-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	0
-50	-45	0
-45	-40	49
-40	-35	631
-35	-30	549
-30	-25	591
-25	-20	635
-20	-15	692
-15	-10	778
-10	-5	1071
-5	0	1614
0	5	2467
5	10	3810
10	15	5820
15	20	8914
20	25	13177
25	30	18980
30	35	24179
35	40	30826
40	45	36146
45	50	40412
50	55	44101
55	60	48215
60	65	48389
65	70	49792
70	75	49007
75	80	48154
80	85	45683
85	90	43616
90	95	40804
95	100	37813
100	105	34090
105	110	30615
110	115	28166
115	120	24895
120	125	22351
125	130	20048
130	135	17184
135	140	15222
140	145	13515
145	150	11981
150	155	10325
155	160	9036
160	165	7915
165	170	6941
170	175	5967
175	180	5365
180	185	4584
185	190	3964
190	195	3560
195	200	2956
200	205	2727
205	210	2362
210	215	2092
215	220	1954
220	225	1691
225	230	1592
230	235	1445
235	240	1344
240	245	1189
245	250	1081
